encoding,char,error-message
c97c,戉,BadArguments
c97d,扐,BadArguments
c97e,氕,BadArguments
c9a1,氶,BadArguments
c9a3,氿,BadArguments
c9a4,氻,BadArguments
c9a5,犮,BadArguments
c9a6,犰,BadArguments
c9a7,玊,BadArguments
c9a8,禸,BadArguments
c9a9,肊,BadArguments
c9aa,阞,BadArguments
c9ab,伎,BadArguments
c9ac,优,BadArguments
c9ad,伬,BadArguments
c9af,伔,BadArguments
c9b0,仱,BadArguments
c9b1,伀,BadArguments
c9b4,伝,BadArguments
c9b5,伂,BadArguments
c9b6,伅,BadArguments
c9b7,伢,BadArguments
c9b8,伓,BadArguments
c9b9,伄,BadArguments
c9ba,仴,BadArguments
c9bb,伒,BadArguments
c9bc,冱,BadArguments
c9be,刉,BadArguments
c9bf,刐,BadArguments
c9c0,劦,BadArguments
c9c1,匢,BadArguments
c9c4,厊,BadArguments
c9c5,吇,BadArguments
c9c9,圪,BadArguments
c9ca,圴,BadArguments
c9cb,夼,BadArguments
c9cc,妀,BadArguments
c9ce,妅,BadArguments
c9cf,奻,BadArguments
c9d0,奾,BadArguments
c9d1,奷,BadArguments
c9d2,奿,BadArguments
c9d4,尕,BadArguments
c9d6,屼,BadArguments
c9d7,屺,BadArguments
c9d8,屻,BadArguments
c9d9,屾,BadArguments
c9da,巟,BadArguments
c9db,幵,BadArguments
c9de,弚,BadArguments
c9df,彴,BadArguments
c9e0,忕,BadArguments
c9e1,忔,BadArguments
c9e2,忏,BadArguments
c9e3,扜,BadArguments
c9e5,扤,BadArguments
c9e6,扡,BadArguments
c9e9,扙,BadArguments
c9eb,扚,BadArguments
c9ec,扥,BadArguments
c9ef,朾,BadArguments
c9f0,朹,BadArguments
c9f1,朸,BadArguments
c9f2,朻,BadArguments
c9f3,机,BadArguments
c9f4,朿,BadArguments
c9f5,朼,BadArguments
c9f6,朳,BadArguments
c9f7,氘,BadArguments
c9f9,汒,BadArguments
c9fb,汏,BadArguments
c9fe,汋,BadArguments
ca40,汌,BadArguments
ca41,灱,BadArguments
ca42,牞,BadArguments
ca44,犵,BadArguments
ca47,癿,BadArguments
ca48,穵,BadArguments
ca4b,艼,BadArguments
ca4c,芀,BadArguments
ca4d,艽,BadArguments
ca4e,艿,BadArguments
ca4f,虍,BadArguments
ca50,襾,BadArguments
ca51,邙,BadArguments
ca53,邘,BadArguments
ca55,邔,BadArguments
ca56,阢,BadArguments
ca57,阤,BadArguments
ca58,阠,BadArguments
ca5a,佖,BadArguments
ca5d,佉,BadArguments
ca5f,佤,BadArguments
ca61,佧,BadArguments
ca62,佒,BadArguments
ca64,佁,BadArguments
ca66,伭,BadArguments
ca67,伳,BadArguments
ca68,伿,BadArguments
ca69,佡,BadArguments
ca6a,冏,BadArguments
ca6b,冹,BadArguments
ca6c,刜,BadArguments
ca6d,刞,BadArguments
ca6e,刡,BadArguments
ca70,劮,BadArguments
ca71,匉,BadArguments
ca73,卲,BadArguments
ca74,厎,BadArguments
ca75,厏,BadArguments
ca76,吰,BadArguments
ca77,吷,BadArguments
ca79,呔,BadArguments
ca7a,呅,BadArguments
ca7b,吙,BadArguments
ca7c,吜,BadArguments
ca7d,吥,BadArguments
ca7e,吘,BadArguments
caa2,呏,BadArguments
caa3,呁,BadArguments
caa4,吨,BadArguments
caa5,吤,BadArguments
caa6,呇,BadArguments
caa8,囧,BadArguments
caa9,囥,BadArguments
caaa,坁,BadArguments
caab,坅,BadArguments
caad,坉,BadArguments
caae,坋,BadArguments
caaf,坒,BadArguments
cab0,夆,BadArguments
cab1,奀,BadArguments
cab2,妦,BadArguments
cab3,妘,BadArguments
cab4,妠,BadArguments
cab6,妎,BadArguments
cab7,妢,BadArguments
cab8,妐,BadArguments
cab9,妏,BadArguments
caba,妧,BadArguments
cabb,妡,BadArguments
cabc,宎,BadArguments
cac0,岍,BadArguments
cac1,岏,BadArguments
cac2,岈,BadArguments
cac3,岋,BadArguments
cac4,岉,BadArguments
cac5,岒,BadArguments
cac6,岊,BadArguments
cac7,岆,BadArguments
cac8,岓,BadArguments
cac9,岕,BadArguments
caca,巠,BadArguments
cacb,帊,BadArguments
cacc,帎,BadArguments
cace,庉,BadArguments
cacf,庌,BadArguments
cad0,庈,BadArguments
cad1,庍,BadArguments
cad2,弅,BadArguments
cad4,彸,BadArguments
cad5,彶,BadArguments
cada,忨,BadArguments
cadc,忳,BadArguments
cadf,忣,BadArguments
cae0,忺,BadArguments
cae1,忯,BadArguments
cae2,忷,BadArguments
cae5,忴,BadArguments
cae6,戺,BadArguments
cae8,抌,BadArguments
caea,抏,BadArguments
caec,抇,BadArguments
caed,扱,BadArguments
caee,扻,BadArguments
caef,扺,BadArguments
caf0,扰,BadArguments
caf1,抁,BadArguments
caf2,抈,BadArguments
caf3,扷,BadArguments
caf4,扽,BadArguments
caf5,扲,BadArguments
caf6,扴,BadArguments
caf8,旰,BadArguments
caf9,旴,BadArguments
cafa,旳,BadArguments
cafb,旲,BadArguments
cafc,旵,BadArguments
cafe,杇,BadArguments
cb40,杙,BadArguments
cb44,杝,BadArguments
cb45,杍,BadArguments
cb46,杚,BadArguments
cb47,杋,BadArguments
cb48,毐,BadArguments
cb4a,氚,BadArguments
cb4b,汸,BadArguments
cb4c,汧,BadArguments
cb4d,汫,BadArguments
cb4e,沄,BadArguments
cb4f,沋,BadArguments
cb51,汱,BadArguments
cb52,汯,BadArguments
cb56,沇,BadArguments
cb57,沕,BadArguments
cb58,沜,BadArguments
cb59,汦,BadArguments
cb5a,汳,BadArguments
cb5b,汥,BadArguments
cb5c,汻,BadArguments
cb5d,沎,BadArguments
